CO_GRUPO;GRUPO
1;ADMINISTRACAO
2;DIREITO
5;MEDICINA VETERINÁRIA
6;ODONTOLOGIA
7;MATEMATICA
8;COMUNICACAO SOCIAL
9;LETRAS
12;MEDICINA
13;CIENCIAS ECONOMICAS
14;FISICA
15;QUIMICA
16;BIOLOGIA
17;AGRONOMIA
18;PSICOLOGIA
19;FARMÁCIA
20;PEDAGOGIA
21;ARQUITETURA E URBANISMO
22;CIENCIAS CONTABEIS
23;ENFERMAGEM
24;HISTORIA
26;DESIGN
27;FONOAUDIOLOGIA
28;NUTRIÇÃO
29;TURISMO
30;GEOGRAFIA
32;FILOSOFIA
35;EDUCACAO FISICA
36;FISIOTERAPIA
38;SERVIÇO SOCIAL
39;TEATRO
40;COMPUTACAO
43;MUSICA
51;ZOOTECNIA
52;TERAPIA OCUPACIONAL
54;CIENCIAS SOCIAIS
55;BIOMEDICINA
57;ENGENHARIA (GRUPO I)
58;ENGENHARIA (GRUPO II)
59;ENGENHARIA (GRUPO III)
60;ENGENHARIA (GRUPO IV)
61;ENGENHARIA (GRUPO V)
62;ENGENHARIA (GRUPO VI)
63;ENGENHARIA (GRUPO VII)
64;ENGENHARIA (GRUPO VIII)
65;ARQUIVOLOGIA
66;BIBLIOTECONOMIA
67;SECRETARIADO EXECUTIVO
69;TECNOLOGIA EM RADIOLOGIA
70;TECNOLOGIA EM AGROINDÚSTRIA
71;TECNOLOGIA EM ALIMENTOS
72;TECNOLOGIA EM ANALISE E DESENVOLVIMENTO DE SISTEMAS
73;TECNOLOGIA EM AUTOMACAO INDUSTRIAL
74;TECNOLOGIA EM CONSTRUCAO DE EDIFICIOS
75;TECNOLOGIA EM FABRICACAO MECANICA
76;TECNOLOGIA EM GESTAO DA PRODUCAO INDUSTRIAL
77;TECNOLOGIA EM MANUTENCAO INDUSTRIAL
78;TECNOLOGIA EM PROCESSOS QUIMICOS
79;TECNOLOGIA EM REDES DE COMPUTADORES
80;TECNOLOGIA EM SANEAMENTO AMBIENTAL
81;RELACOES INTERNACIONAIS
82;ESTATISTICA
83;TECNOLOGIA EM DESIGN DE MODA
84;TECNOLOGIA EM MARKETING
85;TECNOLOGIA EM PROCESSOS GERENCIAIS
86;TECNOLOGIA EM GESTAO DE RECURSOS HUMANOS
87;TECNOLOGIA EM GESTAO FINANCEIRA
88;TECNOLOGIA EM GASTRONOMIA
